Spherical E,,Spherical g,,Oblate E,,Oblate G,
X,Y,X,Y,X,Y,X,Y
0.01914893617021285,20.72437137330754,0.010122325931938125,23.014611704048406,0.01159023711519519,24.567973900990296,0.007675807293176462,116.56912320723234
0.027659574468085202,16.723081882656338,0.015364865872141698,19.086370355618186,0.01968598970164287,22.25751674509177,0.012568844570699789,112.18359630779631
0.040425531914893675,10.902965828497727,0.03214099368079315,13.860185092984011,0.019092894274064298,20.803646646767973,0.02510725259435337,108.91673531461885
0.07872340425531921,6.1698903932946365,0.049266624152124794,9.937829598180656,0.03563602030759555,26.251793001865465,0.041927068235839804,104.48218321610375
0.10000000000000003,10.166666666666657,0.07373181053974148,6.755918605611242,0.04070380891645903,29.947015812950063,0.06342148199067438,99.91074257470558
0.12127659574468092,13.799806576402304,0.09575047828859651,8.87667810296287,0.045596846193982354,34.21470809902022,0.09085744101107318,100.3182247488692
0.14468085106382989,11.978078658929732,0.11679053858194682,12.813974610818889,0.04192706823583986,31.9852253182881,0.11287610875992815,100.8912465562868
0.1595744680851064,10.884912959381026,0.14359350944660243,11.978070206319359,0.04877732042437255,37.77531943002404,0.13489477650878318,96.63815136345394
0.17659574468085104,8.336879432624102,0.17159255609020818,8.911406697351822,0.05122383906313421,40.680968066659986,0.16180648153516153,92.76475546927355
0.2042553191489363,6.878143133462288,0.1987760965208934,6.669482992909877,0.052936402110267344,43.61286117596628,0.18749492724215905,90.0955157045392
0.22553191489361696,4.5112830431979205,0.22514413073865797,4.5302015785508445,0.05538292074902901,46.251950486369864,0.20706707635225235,85.05037703567581
0.29148936170212764,4.864925854287534,0.25232767116934324,4.394374187162981,0.0585633949794192,49.00068831394705,0.2278624847817265,81.79283488199275
0.32553191489361705,5.405222437137311,0.2780161168763407,4.537629639017382,0.060275958026552334,51.686928710843134,0.2547741898081049,79.19976650095145
0.35957446808510646,5.763700838168901,0.31104411849962327,4.983313267008839,0.06272247666531405,54.221484952136,0.28277323645171065,77.82039818159203
0.374468085106383,6.125080593165691,0.34257702539921814,5.599842285730347,0.0673708620789612,57.236559695160196,0.2865789321120065,75.04923642354731
0.42765957446808517,6.117021276595736,0.3697605658299033,5.87149706850613,0.07827534515458462,60.24844655026115,0.3041938663110905,72.85647297382928
0.4574468085106384,6.4761444229529275,0.39544901153690076,5.986101429989645,0.08736241438427084,61.113200865650285,0.3232767116934316,69.13541984703508
0.4787234042553192,8.654738878143121,0.42820517775587646,5.996005510611695,0.10406864166038621,57.774571384902416,0.35059616982627023,69.37716945130924
0.5,12.651515151515149,0.4630001095071535,6.629866670421762,0.11042959012116654,55.52963105458902,0.3771001217461883,66.29925130527121
0.5127659574468084,11.922308188265632,0.48719346049046336,10.026966323778964,0.11838077569714195,53.50745366002772,0.4040118267725666,62.02068847655312
0.5212765957446808,9.375564152159896,0.5116586468780799,11.326201627196497,0.12877847991187902,50.9970845916408,0.430923531798945,61.51828147772639
0.5319148936170213,6.6466795615731655,0.5361238332656966,6.075238155587925,0.13978781378630656,48.38208978298258,0.4578352368253233,60.72415428603247
0.553191489361702,4.279819471308812,0.5627637028877683,3.6982588063001174,0.1532436662994957,45.71445775512677,0.4847469418517017,58.92521309668513
0.5999999999999999,2.999999999999986,0.5975586346390451,2.767275227829032,0.17159255609020824,43.19707656892421,0.502851179778538,57.16840926852964
0.6574468085106382,3.9003868471953638,0.6288197061343332,3.2426710976866104,0.19605774247782487,40.98972815448078,0.517530291611108,53.442494138521
0.7127659574468086,2.619277885235306,0.6562750819693253,3.658642483811974,0.22052292886544161,38.938651398909954,0.5434633891819818,51.76186169405864
0.7680851063829786,3.5199871050934775,0.6878079888689201,2.9554527596476703,0.24131833729491575,36.632869362650794,0.5703750942083601,49.6712003118441
0.827659574468085,2.0564152159896736,0.719340895768515,2.3513038417036682,0.2584439677662474,34.286991604256364,0.5972867992347384,48.71500634633517
0.8617021276595744,2.4148936170212636,0.7465244361992001,2.81538076227892,0.2731230795988174,31.967617797781863,0.6241985042611167,47.67777899391862
0.9063829787234041,0.9535783365570296,0.772737135900218,3.2228629364425387,0.28780219143138747,29.543710922196624,0.651110209287495,46.77020506055422
1.0936170212765957,1.2888459058671629,0.8025225294864118,2.4503446479240267,0.30248130326395745,27.032693155685784,0.6780219143138735,46.33262477125348
1.1425531914893616,1.8268858800773558,0.8288905637041764,1.9452365362003263,0.3171604150965274,24.57394192373031,0.7049336193402518,44.42023684023556
1.2617021276595743,1.081560283687935,0.8559187696181147,2.204157501033478,0.3318395269290974,22.219723760885557,0.7293988057278684,41.11587539633925
1.3404255319148934,1.2514506769825715,0.8857041632043083,1.638210036917343,0.3477418980810482,19.94745338144955,0.753863992115485,39.42858020673114
1.4574468085106382,0.6882656350741314,0.9202272595512786,0.9053080708869174,0.3660907878717608,17.60201250138347,0.7807756971418636,39.08823998171948
,,0.9517601664508735,1.004348877107276,0.38688619630123494,15.149593798732873,0.8076874021682419,38.19687272573657
,,0.9789437068815585,1.1599844297391826,0.41012812336947074,12.831245553101873,0.8345991071946202,36.673445051874836
,,1.004632152588556,1.2618549732800943,0.4358165690764683,10.69582905512786,0.8615108122209985,34.82588383038291
,,1.0376601542118387,1.2618549732800943,0.4627282741028466,8.848168305201384,0.888422517247377,33.318662833902664
,,1.071911415154502,1.128149884882646,0.4896399791292249,7.437645844283381,0.9153342222737553,31.292828161214203
,,1.106434511501472,1.281663134524166,0.5165516841556033,6.177813911563931,0.9422459273001336,32.02212864338205
,,1.13769558299676,1.6184018756732712,0.5434633891819816,5.219815559350366,0.9691576323265119,30.644561065953866
,,1.1648791234274454,1.6693371474437129,0.5703750942083601,4.103162254625019,0.9960693373528902,29.4938869718668
,,1.191091823128463,1.389193152706241,0.5972867992347384,3.6723997414630247,1.0229810423792687,29.234580133762705
,,1.2235955707577253,1.2618549732800943,0.6241985042611167,3.2169294119657224,1.049892747405647,29.526300326629837
,,1.2581186671046956,1.043965199595391,0.651110209287495,2.7690614874946817,1.0768044524320253,28.602519715883858
,,1.2887341295147547,0.9275922522865017,0.6780219143138733,2.6556993841779644,1.1037161574584036,29.088720037329097
,,1.3150953678474115,1.0122721416048535,0.7049336193402516,2.320917234472148,1.1306278624847819,28.780793167080446
,,1.3437468194613538,1.3014712957682093,0.7318453243666299,1.9034589301060407,1.1575395675111604,27.824599201571516
,,1.3750078909566419,1.3608957795004528,0.7587570293930084,1.46699461317435,1.1844512725375387,26.868405236062557
,,1.4021914313873272,1.2618549732800943,0.7856687344193867,1.3393780004334275,1.211362977563917,25.960831302698097
,,1.4293749718180122,1.0637733608394342,0.812580439445765,1.4065730164897872,1.2382746825902953,26.02565801222414
,,1.4523450634819413,0.771602982489469,0.8394921444721433,1.4418650828824582,1.2651863876166738,25.523251013397385
,,,,0.8664038494985216,1.2558728601186715,1.292098092643052,25.053257369333664
,,,,0.8933155545249001,1.1044987316707733,1.3190097976694304,24.68050378955897
,,,,0.9202272595512784,0.9483731000814828,1.3459215026958087,24.939810627663093
,,,,0.9471389645776567,0.9823075941480539,1.372833207722187,24.79395053122954
,,,,0.974050669604035,0.9592240505178609,1.3997449127485655,23.9025832752466
,,,,1.0009623746304133,0.9139668255611468,1.4266566177749438,24.145683435969204
,,,,1.0278740796567918,0.7134938313188144,1.453568322801322,23.59465640499795
,,,,1.05478578468317,0.6619012688402535,,
,,,,1.0816974897095484,0.7243447817552067,,
,,,,1.1086091947359267,0.7600441198457162,,
,,,,1.135520899762305,0.9686981722830694,,
,,,,1.1624326047886835,0.8270985645831956,,
,,,,1.1893443098150618,0.7270406700623795,,
,,,,1.21625601484144,0.6089270636042556,,
,,,,1.2431677198678184,0.5706387099215817,,
,,,,1.2700794248941967,0.6539888366586837,,
,,,,1.2969911299205752,0.649911305594074,,
,,,,1.3239028349469535,0.524195294109731,,
,,,,1.3508145399733318,0.5790364019984509,,
,,,,1.37772624499971,0.5749588709338553,,
,,,,1.4046379500260884,0.5803843461520302,,
,,,,1.4315496550524667,0.593412226396481,,
,,,,1.4474520262044177,0.307813188994686,,
